일련번호,상호명,지번주소
20397,피씨유저SYSTEM,광주광역시 북구 운암동 420-16
20398,GS25,광주광역시 북구 용봉동 1209-1
20399,GS서영대학교점,광주광역시 북구 운암동 885-43
20400,코리아세븐광주주월3호,광주광역시 남구 주월동 1286-1
20401,CU,광주광역시 서구 농성동 425-4
20402,코리아세븐광주월산2호,광주광역시 남구 월산동 1048-150
20403,CU,광주광역시 동구 충장로5가 24
20404,GS25,광주광역시 광산구 우산동 1037-2
20405,GS25,광주광역시 광산구 월계동 829-8
20406,GS25,광주광역시 서구 풍암동 1058
20407,지스탑,광주광역시 북구 용전동 1224-2
20408,시유광주지석중앙점,광주광역시 남구 지석동 323-3
20409,코리아세븐광주양산휴다음점,광주광역시 북구 양산동 249-38
20410,세븐일레븐광주서석골드점,광주광역시 동구 서석동 98-1
20411,씨유금동중앙,광주광역시 동구 금동 211-6
20412,세븐일레븐광주두암라인점,광주광역시 북구 두암동 916-8
20413,세븐일레븐광주신하남공단점,광주광역시 광산구 오선동 254-6
20414,세븐일레븐,광주광역시 동구 서석동 375
20415,세븐일레븐기독병원,광주광역시 남구 양림동 264
20416,미니스톱,광주광역시 북구 동림동 234
20417,세븐일레븐,광주광역시 광산구 쌍암동 694-34
20418,세븐일레븐,광주광역시 광산구 쌍암동 689-8
20419,GS25,광주광역시 북구 풍향동 602-10
20420,세븐일레븐,광주광역시 광산구 우산동 1613-1
20421,CU,광주광역시 남구 지석동 323-3
20422,세븐일레븐,광주광역시 북구 용봉동 1240-1
20423,미니스톱,광주광역시 광산구 우산동 1606-10
20424,세븐일레븐,광주광역시 광산구 신가동 1008-1
20425,CU,광주광역시 광산구 소촌동 518-1
20426,세븐일레븐광주산수점,광주광역시 동구 산수동 526-21
20427,세븐일레븐,광주광역시 남구 송하동 252
20428,세븐일레븐,광주광역시 서구 치평동 1223-1
20429,세븐일레븐,광주광역시 광산구 소촌동 783-144
20430,코리아세븐광주남부대점,광주광역시 광산구 월계동 864-1
20431,세븐일레븐,광주광역시 서구 풍암동 926-3
20432,미니스톱,광주광역시 서구 쌍촌동 1310-4
20433,세븐일레븐,광주광역시 북구 일곡동 843-1
20434,미래편의점,광주광역시 북구 오치동 752-1
20435,위드미,광주광역시 북구 신안동 7-5
20436,미니스톱,광주광역시 광산구 신가동 975-1
20437,GS25,광주광역시 남구 백운동 32-1
20438,미니스톱,광주광역시 광산구 하남동 752
20439,세븐일레븐,광주광역시 광산구 진곡동 520
20440,CU,광주광역시 북구 문흥동 997-12
20441,세븐일레븐,광주광역시 남구 진월동 513-1
20442,GS25,광주광역시 북구 중흥동 696-13
20443,세븐일레븐광주임동경양점,광주광역시 북구 임동 3-20
20444,오픈편의점,광주광역시 북구 문흥동 1011-5
20445,CU,광주광역시 광산구 신가동 1015-6
20446,CU,광주광역시 남구 방림동 562
20447,코리아세븐마사회광주3층점,광주광역시 동구 계림동 293-4
20448,GS25,광주광역시 북구 일곡동 849-2
20449,알리바이,광주광역시 북구 삼각동 409-3
20450,코리아세븐광주,광주광역시 북구 충효동 443-1
20451,코리아세븐광주월계,광주광역시 광산구 월계동 767-3
20452,세븐일레븐,광주광역시 서구 치평동 1220-1
20453,CU,광주광역시 광산구 선암동 624
20454,미니스톱금동미래점,광주광역시 동구 금동 185-1
20455,GS25,광주광역시 북구 생용동 127-2
20456,코리아세븐광주상무,광주광역시 서구 치평동 1220-1
20457,GS25,광주광역시 동구 광산동 56
20458,군계휴게소편의점,광주광역시 광산구 신가동 1034
20459,CU,광주광역시 광산구 쌍암동 660-6
20460,세븐일레븐,광주광역시 북구 본촌동 3102
20461,GS25,광주광역시 서구 치평동 573-1
20462,CU,광주광역시 광산구 운남동 782-1
20463,GS25,광주광역시 서구 쌍촌동 904
20464,CU,광주광역시 북구 문흥동 787-5
20465,코리아세븐광주풍암베니스점,광주광역시 서구 풍암동 1171
20466,미니스톱,광주광역시 광산구 쌍암동 694-58
20467,씨유통,광주광역시 광산구 월곡동 598-5
20468,코리아세븐광주전대치대점,광주광역시 북구 신안동 475-3
20469,세븐일레븐,광주광역시 서구 금호동 738-1
20470,코리아세븐광주학동도울점,광주광역시 동구 학동 735-16
20471,코리아세븐광주,광주광역시 북구 문흥동 956-13
20472,코리아세븐광주용봉우치점,광주광역시 북구 용봉동 20-18
20473,세븐일레븐,광주광역시 광산구 월계동 864-1
20474,GS25,광주광역시 북구 오치동 776-14
20475,코리아세븐광주매곡서광점서광점,광주광역시 북구 매곡동 290
20476,세븐일레븐,광주광역시 서구 쌍촌동 1252
20477,CU,광주광역시 광산구 우산동 1599-1
20478,미니스톱,광주광역시 광산구 운남동 786-11
20479,GS25,광주광역시 서구 금호동 838-10
20480,씨유타이,광주광역시 남구 노대동 848
20481,위드미,광주광역시 남구 백운동 631-24
20482,코리아세븐광주대인추선점,광주광역시 동구 대인동 163
20483,CU,광주광역시 북구 운암동 1063-5
20484,세븐일레븐,광주광역시 북구 동림동 44-35
20485,GS25,광주광역시 광산구 장덕동 1550
20486,코리아세븐광주쌍촌힐탑점,광주광역시 서구 쌍촌동 1374-4
20487,CU,광주광역시 광산구 신창동 1232-16
20488,CU,광주광역시 광산구 쌍암동 688-2
20489,CU,광주광역시 동구 학동 262-1
20490,미니스톱,광주광역시 북구 임동 316
20491,세븐일레븐,광주광역시 남구 주월동 700
20492,제이씨유스틸,광주광역시 광산구 용동 672-4
20493,코리아세븐광주수완,광주광역시 광산구 신가동 1306
20494,문화예술회관구내매점,광주광역시 북구 운암동 328-16
20593,미니스톱하남우산동,광주광역시 광산구 우산동 1065-1
