순위,가수이름,노래제목
1,AKMU (악뮤),Love Lee
2,AKMU (악뮤),후라이의 꿈
3,정국,Seven (feat. Latto) - Clean Ver.
4,"다이나믹 듀오, 이영지","Smoke (Prod. Dynamicduo, Padi)"
5,NewJeans,Super Shy
6,NewJeans,ETA
7,전소미,Fast Forward
8,우디 (Woody),사막에서 꽃을 피우듯
9,박재정,헤어지자 말해요
10,화사 (HWASA),I Love My Body
11,IVE (아이브),I AM
12,임영웅,사랑은 늘 도망가
13,STAYC(스테이씨),Bubble
14,임영웅,모래 알갱이
15,(여자)아이들,퀸카 (Queencard)
16,임영웅,우리들의 블루스
17,정국,Still With You
18,임영웅,다시 만날 수 있을까
19,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
20,NewJeans,Hype boy
21,Lauv,Steal The Show (From “엘리멘탈”)
22,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
23,임영웅,이제 나만 믿어요
24,IVE (아이브),Either Way
25,임영웅,무지개
26,aespa,Spicy
27,임영웅,아버지
28,임영웅,London Boy
29,IVE (아이브),Kitsch
30,임영웅,Polaroid
31,NewJeans,Ditto
32,V,Love Me Again
33,임영웅,인생찬가
34,NewJeans,New Jeans
35,임영웅,A bientot
36,이세계아이돌,KIDDING
37,임영웅,손이 참 곱던 그대
38,ITZY (있지),CAKE
39,임영웅,사랑해 진짜
40,임영웅,연애편지
41,Paul Blanco,Summer (Feat. BE’O (비오))
42,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
43,IVE (아이브),After LIKE
44,성시경,너의 모든 순간
45,윤하 (YOUNHA),사건의 지평선
46,방탄소년단,Dynamite
47,BIG Naughty (서동현),Vancouver 2
48,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
49,탑현,나에게 그대만이
50,임영웅,보금자리
51,IVE (아이브),LOVE DIVE
52,NewJeans,OMG
53,멜로망스,사랑인가 봐
54,V,Slow Dancing
55,DK(디셈버),심(心)
56,NewJeans,Attention
57,Charlie Puth,I Don't Think That I Like Her
58,방탄소년단,Butter
59,임한별,사랑하지 않아서 그랬어
60,방탄소년단,봄날
61,RIIZE,Get A Guitar
62,V,Rainy Days
63,세븐틴 (SEVENTEEN),손오공
64,IVE (아이브),I WANT
65,지민,Like Crazy
66,Charlie Puth,Dangerously
67,지수 (JISOO),꽃
68,방탄소년단,Take Two
69,"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)
70,NewJeans,Cool With You
71,김민석 (멜로망스),취중고백
72,NCT U,Baggy Jeans
73,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
74,Crush,Click Like (Prod. Crush) (Feat. Paul Blanco)
75,STAYC(스테이씨),Teddy Bear
76,Agust D,사람 Pt.2 (feat. 아이유)
77,"경서예지, 전건호",다정히 내 이름을 부르면
78,"The Kid LAROI, Justin Bieber",STAY
79,"김연지, DK(디셈버)",미친 사랑의 노래
80,#안녕,해요 (2022)
81,케이시 (Kassy),사실말야내가말야그게그러니까말이야
82,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
83,허각,물론
84,잔나비,주저하는 연인들을 위해
85,LE SSERAFIM (르세라핌),ANTIFRAGILE
86,김호중,그중에 그대를 만나
87,제이세라,사랑의 바보
88,디오 (D.O.),별 떨어진다 (I Do)
89,NCT DREAM,Candy
90,디오 (D.O.),Somebody
91,이무진,잠깐 시간 될까
92,지아,사랑..그게 뭔데
93,우효,민들레 (single ver.)
94,FIFTY FIFTY,Cupid
95,NCT DREAM,ISTJ
96,경서,첫 키스에 내 심장은 120BPM
97,aespa,Better Things
98,NewJeans,ASAP
99,"j-hope, J. Cole",on the street (with J. Cole)
100,오마이걸 (OH MY GIRL),여름이 들려 (Summer Comes)
